Country,Year,Begin,End,EDI before,EDI end,Type,Time,Original_regime,Region
Niger,1996,1995,1996,0.57,0.33,Military Coup,Third Wave,Democracy,Sub-Saharan Africa
Niger,2009,2009,2010,0.62,0.27,Military Coup,Third Wave,Democracy,Sub-Saharan Africa
Niger,2010,2009,2010,0.62,0.27,Military Coup,Third Wave,Democracy,Sub-Saharan Africa
Niger,2013,2013,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Niger,2014,2013,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Niger,2015,2013,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Niger,2016,2013,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Niger,2017,2013,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Philippines,2001,2001,2005,0.63,0.5,Military Coup,Third Wave,Democracy,East Asia and Pacific
Philippines,2002,2001,2005,0.63,0.5,Military Coup,Third Wave,Democracy,East Asia and Pacific
Philippines,2003,2001,2005,0.63,0.5,Military Coup,Third Wave,Democracy,East Asia and Pacific
Philippines,2004,2001,2005,0.63,0.5,Military Coup,Third Wave,Democracy,East Asia and Pacific
Philippines,2005,2001,2005,0.63,0.5,Military Coup,Third Wave,Democracy,East Asia and Pacific
Poland,2013,2013,2017,0.91,0.73,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Poland,2014,2013,2017,0.91,0.73,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Poland,2015,2013,2017,0.91,0.73,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Poland,2016,2013,2017,0.91,0.73,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Poland,2017,2013,2017,0.91,0.73,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1993,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1994,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1995,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1996,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1997,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1998,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,1999,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2000,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2001,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2002,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2003,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2004,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2005,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2006,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2007,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2008,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2009,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2010,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2011,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2012,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2013,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2014,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2015,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2016,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Russia,2017,1993,2017,0.53,0.27,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2006,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2007,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2008,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2009,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2010,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2011,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2012,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2013,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2014,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2015,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2016,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Serbia,2017,2006,2017,0.69,0.45,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Solomon Islands,1997,1997,2001,0.57,0.26,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Solomon Islands,1998,1997,2001,0.57,0.26,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Solomon Islands,1999,1997,2001,0.57,0.26,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Solomon Islands,2000,1997,2001,0.57,0.26,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Solomon Islands,2001,1997,2001,0.57,0.26,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2008,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2009,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2010,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2011,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2012,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2013,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
South Korea,2014,2008,2014,0.85,0.71,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Spain,2013,2013,2017,0.88,0.77,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Spain,2014,2013,2017,0.88,0.77,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Spain,2015,2013,2017,0.88,0.77,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Spain,2016,2013,2017,0.88,0.77,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Spain,2017,2013,2017,0.88,0.77,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Sri Lanka,2004,2004,2008,0.57,0.43,Democratic Erosion,Third Wave,Democracy,South Asia
Sri Lanka,2005,2004,2008,0.57,0.43,Democratic Erosion,Third Wave,Democracy,South Asia
Sri Lanka,2006,2004,2008,0.57,0.43,Democratic Erosion,Third Wave,Democracy,South Asia
Sri Lanka,2007,2004,2008,0.57,0.43,Democratic Erosion,Third Wave,Democracy,South Asia
Sri Lanka,2008,2004,2008,0.57,0.43,Democratic Erosion,Third Wave,Democracy,South Asia
Thailand,2005,2005,2007,0.55,0.18,Military Coup,Third Wave,Democracy,East Asia and Pacific
Thailand,2006,2005,2007,0.55,0.18,Military Coup,Third Wave,Democracy,East Asia and Pacific
Thailand,2007,2005,2007,0.55,0.18,Military Coup,Third Wave,Democracy,East Asia and Pacific
Thailand,2013,2013,2016,0.55,0.14,Military Coup,Third Wave,Democracy,East Asia and Pacific
Thailand,2014,2013,2016,0.55,0.14,Military Coup,Third Wave,Democracy,East Asia and Pacific
Thailand,2015,2013,2016,0.55,0.14,Military Coup,Third Wave,Democracy,East Asia and Pacific
Thailand,2016,2013,2016,0.55,0.14,Military Coup,Third Wave,Democracy,East Asia and Pacific
Turkey,2008,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2009,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2010,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2011,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2012,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2013,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2014,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2015,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2016,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Turkey,2017,2008,2017,0.67,0.34,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,1997,1997,2002,0.59,0.4,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,1998,1997,2002,0.59,0.4,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,1999,1997,2002,0.59,0.4,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,2000,1997,2002,0.59,0.4,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,2001,1997,2002,0.59,0.4,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,2002,1997,2002,0.59,0.4,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Ukraine,2010,2010,2015,0.64,0.38,Military Coup,Third Wave,Democracy,Europe and Central Asia
Ukraine,2011,2010,2015,0.64,0.38,Military Coup,Third Wave,Democracy,Europe and Central Asia
Ukraine,2012,2010,2015,0.64,0.38,Military Coup,Third Wave,Democracy,Europe and Central Asia
Ukraine,2013,2010,2015,0.64,0.38,Military Coup,Third Wave,Democracy,Europe and Central Asia
Ukraine,2014,2010,2015,0.64,0.38,Military Coup,Third Wave,Democracy,Europe and Central Asia
Ukraine,2015,2010,2015,0.64,0.38,Military Coup,Third Wave,Democracy,Europe and Central Asia
Vanuatu,1988,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1989,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1990,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1991,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1992,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1993,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1994,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1995,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Vanuatu,1996,1988,1996,0.71,0.59,Democratic Erosion,Third Wave,Democracy,East Asia and Pacific
Venezuela,1999,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2000,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2001,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2002,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2003,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2004,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2005,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2006,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2007,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Venezuela,2008,1999,2008,0.79,0.45,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Zambia,2010,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2011,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2012,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2013,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2014,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2015,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2016,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Zambia,2017,2010,2017,0.57,0.35,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Albania,1937,1937,1940,0.19,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Albania,1938,1937,1940,0.19,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Albania,1939,1937,1940,0.19,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Albania,1940,1937,1940,0.19,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Algeria,1992,1992,1992,0.39,0.19,,Pre-third Wave,Autocracy,Middle East and North Africa
Algeria,1965,1965,1966,0.2,0.09,,Pre-third Wave,Autocracy,Middle East and North Africa
Algeria,1966,1965,1966,0.2,0.09,,Pre-third Wave,Autocracy,Middle East and North Africa
Argentina,1950,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1951,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1952,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1953,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1954,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1955,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1956,1950,1956,0.41,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1901,1901,1901,0.4,0.21,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1962,1962,1962,0.51,0.28,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1943,1943,1944,0.31,0.09,,Pre-third Wave,Autocracy,Latin America and Caribbean
Argentina,1944,1943,1944,0.31,0.09,,Pre-third Wave,Autocracy,Latin America and Caribbean
Austria,1919,1919,1919,0.46,0.3,,Pre-third Wave,Autocracy,Europe and Central Asia
Bangladesh,1975,1975,1976,0.43,0.14,,Pre-third Wave,Autocracy,South Asia
Bangladesh,1976,1975,1976,0.43,0.14,,Pre-third Wave,Autocracy,South Asia
Bangladesh,1982,1982,1983,0.42,0.2,,Pre-third Wave,Autocracy,South Asia
Bangladesh,1983,1982,1983,0.42,0.2,,Pre-third Wave,Autocracy,South Asia
Benin,1965,1965,1966,0.35,0.18,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Benin,1966,1965,1966,0.35,0.18,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Benin,1970,1970,1973,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Benin,1971,1970,1973,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Benin,1972,1970,1973,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Benin,1973,1970,1973,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Bolivia,1964,1964,1965,0.28,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Bolivia,1965,1964,1965,0.28,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Brazil,1930,1930,1931,0.22,0.09,,Pre-third Wave,Autocracy,Latin America and Caribbean
Brazil,1931,1930,1931,0.22,0.09,,Pre-third Wave,Autocracy,Latin America and Caribbean
Brazil,1964,1964,1965,0.43,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Brazil,1965,1964,1965,0.43,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Bulgaria,1934,1934,1935,0.21,0.1,,Pre-third Wave,Autocracy,Europe and Central Asia
Bulgaria,1935,1934,1935,0.21,0.1,,Pre-third Wave,Autocracy,Europe and Central Asia
Burkina Faso,1965,1965,1967,0.42,0.19,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burkina Faso,1966,1965,1967,0.42,0.19,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burkina Faso,1967,1965,1967,0.42,0.19,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burma/Myanmar,1962,1962,1963,0.46,0.08,,Pre-third Wave,Autocracy,East Asia and Pacific
Burma/Myanmar,1963,1962,1963,0.46,0.08,,Pre-third Wave,Autocracy,East Asia and Pacific
Burma/Myanmar,1942,1942,1943,0.23,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Burma/Myanmar,1943,1942,1943,0.23,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Burundi,1965,1965,1967,0.21,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burundi,1966,1965,1967,0.21,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burundi,1967,1965,1967,0.21,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burundi,1987,1987,1988,0.21,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Burundi,1988,1987,1988,0.21,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Cambodia,1970,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Cambodia,1971,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Cambodia,1972,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Cambodia,1973,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Cambodia,1974,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Cambodia,1975,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Cambodia,1976,1970,1976,0.28,0.11,,Pre-third Wave,Autocracy,East Asia and Pacific
Central African Republic,1963,1963,1967,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Central African Republic,1964,1963,1967,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Central African Republic,1965,1963,1967,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Central African Republic,1966,1963,1967,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Central African Republic,1967,1963,1967,0.27,0.1,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Chile,1924,1924,1928,0.29,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Chile,1925,1924,1928,0.29,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Chile,1926,1924,1928,0.29,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Chile,1927,1924,1928,0.29,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Chile,1928,1924,1928,0.29,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
China,1949,1949,1950,0.18,0.08,,Pre-third Wave,Autocracy,East Asia and Pacific
China,1950,1949,1950,0.18,0.08,,Pre-third Wave,Autocracy,East Asia and Pacific
Colombia,1946,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1947,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1948,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1949,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1950,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1951,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1952,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1953,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Colombia,1954,1946,1954,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Comoros,1975,1975,1975,0.25,0.12,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1962,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1963,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1964,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1965,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1966,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1967,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Congo,1968,1962,1968,0.33,0.09,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Costa Rica,1917,1917,1917,0.33,0.21,,Pre-third Wave,Autocracy,Latin America and Caribbean
Costa Rica,1948,1948,1948,0.34,0.23,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1904,1904,1907,0.34,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1905,1904,1907,0.34,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1906,1904,1907,0.34,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1907,1904,1907,0.34,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1952,1952,1953,0.43,0.2,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1953,1952,1953,0.43,0.2,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1959,1959,1961,0.27,0.07,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1960,1959,1961,0.27,0.07,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1961,1959,1961,0.27,0.07,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1927,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1928,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1929,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1930,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1931,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1932,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1933,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Cuba,1934,1927,1934,0.33,0.19,,Pre-third Wave,Autocracy,Latin America and Caribbean
Czech Republic,1950,1950,1950,0.19,0.08,,Pre-third Wave,Autocracy,Europe and Central Asia
Democratic Republic of Congo,1965,1965,1966,0.32,0.11,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Democratic Republic of Congo,1966,1965,1966,0.32,0.11,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Dom. Rep,1964,1964,1964,0.32,0.16,,Pre-third Wave,Autocracy,Latin America and Caribbean
Dom. Rep,1916,1916,1917,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Dom. Rep,1917,1916,1917,0.26,0.12,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1961,1961,1964,0.38,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1962,1961,1964,0.38,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1963,1961,1964,0.38,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1964,1961,1964,0.38,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1935,1935,1937,0.25,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1936,1935,1937,0.25,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1937,1935,1937,0.25,0.14,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1970,1970,1973,0.37,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1971,1970,1973,0.37,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1972,1970,1973,0.37,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Ecuador,1973,1970,1973,0.37,0.15,,Pre-third Wave,Autocracy,Latin America and Caribbean
Egypt,1952,1952,1954,0.22,0.06,,Pre-third Wave,Autocracy,Middle East and North Africa
Egypt,1953,1952,1954,0.22,0.06,,Pre-third Wave,Autocracy,Middle East and North Africa
Egypt,1954,1952,1954,0.22,0.06,,Pre-third Wave,Autocracy,Middle East and North Africa
Equatorial Guinea,1971,1971,1973,0.18,0.04,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Equatorial Guinea,1972,1971,1973,0.18,0.04,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Equatorial Guinea,1973,1971,1973,0.18,0.04,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Estonia,1992,1992,1992,0.6,0.45,,Pre-third Wave,Autocracy,Europe and Central Asia
Ghana,1962,1962,1966,0.34,0.16,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Ghana,1963,1962,1966,0.34,0.16,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Ghana,1964,1962,1966,0.34,0.16,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Ghana,1965,1962,1966,0.34,0.16,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Ghana,1966,1962,1966,0.34,0.16,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Ghana,1972,1972,1973,0.38,0.12,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Ghana,1973,1972,1973,0.38,0.12,,Pre-third Wave,Autocracy,Sub-Saharan Africa
Greece,1935,1935,1937,0.38,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1936,1935,1937,0.38,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1937,1935,1937,0.38,0.05,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1922,1922,1923,0.41,0.27,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1923,1922,1923,0.41,0.27,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1966,1966,1968,0.42,0.08,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1967,1966,1968,0.42,0.08,,Pre-third Wave,Autocracy,Europe and Central Asia
Greece,1968,1966,1968,0.42,0.08,,Pre-third Wave,Autocracy,Europe and Central Asia
